,antigenic_feature_count,antigen_recognition_function,statistic,p
0,3,sphere,0.17449389684902514,0.8406518464146897
1,5,sphere,0.03200459768804291,0.9685321523981091
2,10,sphere,3.102254571187499,0.05826874535492512
3,3,ackley,2.2726111252796986,0.11893996224199585
4,5,ackley,8.133052860578363,0.001344107916908978
5,10,ackley,19.631879636248666,2.41707944381101e-06
6,3,rastrigin,4.311736839001117,0.021696900925441485
7,5,rastrigin,17.426900128463803,6.831343190567282e-06
8,10,rastrigin,62.05104020368247,6.583821701219469e-12
9,3,griewank,11.711587611705406,0.00014336095544604114
10,5,griewank,30.298810616567394,3.385404916041218e-08
11,10,griewank,10.12552449649332,0.0003724476568993659
12,3,rosenbrock,2.621475209263405,0.08777726926092744
13,5,rosenbrock,2.747079430102724,0.07878893729721337
14,10,rosenbrock,0.23255742682596114,0.7937920230927829
