,antigen_recognition_function,antigenic_feature_count,mannwhitneyu_p_value,bootstrap_confidence_interval_low,bootstrap_confidence_interval_high
0,sphere,3,1.0,-4.887105788029743,-3.494323309403581
1,sphere,3,1.0,-7.865858896460564,-6.04041545149011
2,sphere,3,1.0,-11.034189305742052,-8.49924438618658
3,sphere,3,1.0,-14.578346058789704,-11.414308971292924
4,sphere,5,1.0,-7.037829079970129,-5.207345402476224
5,sphere,5,1.0,-13.18850695458834,-9.835282059837029
6,sphere,5,1.0,-18.907239732101043,-14.361920466128394
7,sphere,5,1.0,-24.06304229927413,-18.558459409872075
8,sphere,10,1.0,-14.378564839513864,-10.220676854670272
9,sphere,10,1.0,-26.90514266400916,-20.10771330115197
10,sphere,10,1.0,-39.78950269984162,-29.568467575804693
11,sphere,10,1.0,-147.9531919068795,-51.026630709805985
12,ackley,3,1.0,-222.07931451862333,-59.230811077944786
13,ackley,3,1.0,-34.493791758988245,-25.88020887317864
14,ackley,3,1.0,-256.24001360436074,-103.63115876791522
15,ackley,3,1.0,-382.0459603406045,-210.20015240836213
16,ackley,5,1.0,-29.67897360268458,-21.583997463355626
17,ackley,5,1.0,-60.09625089141219,-46.361313386668286
18,ackley,5,1.0,-265.86375496728607,-127.75231045056695
19,ackley,5,1.0,-295.29701705658164,-152.90316992650386
20,ackley,10,1.0,-73.29989894817464,-53.938921170510206
21,ackley,10,1.0,-265.965318133996,-149.16506243107168
22,ackley,10,1.0,-321.85688863686437,-197.77945172275184
23,ackley,10,1.0,-270.8249911317386,-213.3017717411429
24,rastrigin,3,1.0,-46.293285131916754,-14.504693832682106
25,rastrigin,3,1.0,-53.600120318157344,-22.69303331551194
26,rastrigin,3,1.0,-43.08089100126123,-33.34506799244189
27,rastrigin,3,1.0,-56.50502949599019,-44.08449764323112
28,rastrigin,5,1.0,-25.1300897555808,-19.456252748965614
29,rastrigin,5,1.0,-51.13352462328616,-38.639691718997966
30,rastrigin,5,1.0,-68.89138828392576,-54.65871561300101
31,rastrigin,5,1.0,-91.49923937778514,-72.52218707380459
32,rastrigin,10,1.0,-131.55529905238635,-46.50718448038935
33,rastrigin,10,1.0,-279.8301815000853,-114.37695717093466
34,rastrigin,10,1.0,-132.50643832106107,-104.73263529720629
35,rastrigin,10,1.0,-349.1852827647812,-199.23793353742934
36,griewank,3,1.0,-34.76214919653705,-15.20583522955465
37,griewank,3,1.0,-48.22448775894712,-28.237672710234342
38,griewank,3,1.0,-50.41110843039392,-39.9803691044287
39,griewank,3,1.0,-69.58515601350908,-54.89049658679409
40,griewank,5,1.0,-36.736270757807524,-24.973144008862594
41,griewank,5,1.0,-62.10463053253559,-48.398353065353064
42,griewank,5,1.0,-88.58696543626951,-70.6212667843133
43,griewank,5,1.0,-116.10849747148116,-90.20165380960144
44,griewank,10,1.0,-58.04626842475385,-33.438892356684875
45,griewank,10,1.0,-116.72125546225327,-88.3090620005633
46,griewank,10,1.0,-264.48342062888656,-160.64613610335982
47,griewank,10,1.0,-510.46849590402167,-312.4352771644805
48,rosenbrock,3,1.0,-44.43914933134706,-12.984710893082735
49,rosenbrock,3,1.0,-127.59818886716039,-45.03423363951898
50,rosenbrock,3,1.0,-72.84251690768497,-21.108176833520403
51,rosenbrock,3,1.0,-191.48260817281107,-75.84650345754011
52,rosenbrock,5,1.0,-15.685810919738413,-10.855849720745262
53,rosenbrock,5,1.0,-138.4247673496736,-57.108064099561325
54,rosenbrock,5,1.0,-77.57394872999896,-48.28669424220338
55,rosenbrock,5,1.0,-150.33951042245758,-77.89712155224153
56,rosenbrock,10,1.0,-201.26765897379886,-95.25948033110866
57,rosenbrock,10,1.0,-205.31028802047973,-109.63064623176255
58,rosenbrock,10,1.0,-302.74045076455525,-196.3607249807246
59,rosenbrock,10,1.0,-384.8474808612094,-224.1373487848615
